englishTitle;title;actionType;type;level;traits;traditions;castTime;muse;trigger;range;objectives;area;defense;duration;description;heightenings
TRANSLOCATE;CAMBIAR DE SITIO;two-actions;CONJURO;4;CONCENTRAR MANIPULAR TELETRANSPORTE;arcana, ocultista;;;;120 pies (36 m);;;;;Te transportas de inmediato a ti mismo y a cualquier objeto que llevas puesto y que sostienes desde tu espacio actual hasta un espacio no ocupado dentro del alcance y al que puedes ver. Si esto mueve contigo a otra criatura (incluso si la llevas en un recipiente extradimensional) el conjuro se pierde.;Potenciado (5.º) El alcance se incrementa a una milla (1,6 km). No necesitas ser capaz de ver tu destino si has estado allí en el pasado y conoces su situación y distancia relativas. A continuación quedas temporalmente inmune durante 1 hora.
UNTAMED SHIFT;CAMBIO INDÓMITO;one-action A two-actions;FOCO;1;POCO-COMÚN CONCENTRAR DRUIDA FOCO MANIPULAR POLIMORFÍA;;;;;;;;;1 minuto;"Sólo transformas una parte de tu cuerpo. Elige cualquier efecto que encaje con una dote de la orden indómita de que dispongas.
• Forma de elemental Haces cambiar tu cuerpo para que se componga parcialmente de materia elemental, lo que le concede resistencia 5 a los impactos críticos y al daño de precisión.
Forma de insecto Tu boca se convierte en unas fauces letales.
Fauces indómitas es un ataque sin arma que inflige 1d8 daño perforante.
• Forma de planta Tus brazos se convierten en largas enredaderas, incrementando tu alcance a 10 pies (3 m), o 15 pies (4,5 m) con una arma de alcance.
• Forma indómita Tus manos se transforman en unas garras increíblemente afiladas. Garras indómitas es un ataque sin arma, tiene los rasgos ágil y sutil e inflige 1d6 daño cortante. Sigues pudiendo sostener y utilizar objetos con las manos mientras están transformadas por este conjuro, pero has de tener una mano libre para atacar con ella.
• Forma voladora Para obtener este beneficio tienes que lanzar forma indómita utilizando 2 acciones. Haces que crezcan alas de tu espalda, obteniendo una velocidad de vuelo de 30 pies (9 m).";"Potenciado (6.º) Puedes elegir hasta 2 efectos de la lista. Garras indómitas dejan heridas terribles e irregulares, que infligen también 2d6 daño persistente por sangrado con un impacto y fauces indómitas están envenenadas, infligiendo también 2d6 daño persistente por veneno con un impacto.
Potenciado (10.º) Puedes elegir hasta 3 efectos de la lista. Garras indómitas infligen 4d6 daño persistente por sangrado con un impacto y fauces indómitas infligen 4d6 daño persistente por veneno con un impacto."
SUDDEN SHIFT;CAMBIO REPENTINO;reaction;FOCO;1;POCO-COMÚN CLÉRIGO FOCO MANIPULAR;;;;Un enemigo te falla con un ataque cuerpo a cuerpo.;;;;;hasta el final de tu siguiente turno;Te apartas rápidamente de un lugar peligroso y te cubres. Das un Paso y quedas oculto.;
WATER WALK;CAMINAR SOBRE LAS AGUAS;two-actions;CONJURO;2;AGUA CONCENTRAR MANIPULAR;arcana, divina, primigenia;;;;toque; 1 criatura;;;10 minutos;El objetivo puede caminar sobre la superficie del agua y de otros líquidos sin atravesarla. Si lo desea, puede meterse bajo el agua, pero en ese caso tiene que Nadar de la forma habitual. Este conjuro no concede la aptitud de respirar bajo el agua.;Potenciado (4.º) El alcance del conjuro se incrementa a 30 pies (9 m), su duración se incrementa a 1 hora, y puedes designar como objetivo hasta 10 criaturas.
FIELD OF LIFE;CAMPO DE VIDA;two-actions;CONJURO;6;CONCENTRAR CURACIÓN MANIPULAR VITALIDAD;divina, primigenia;;;;30 pies (9 m);; explosión de 20 pies (6 m);;mantenido hasta 1 minuto;;"Un campo de energía vital llena el área, exudando calidez y rejuvenecimiento a quienes están en su interior. Cada criatura viva que empieza su turno en el área recupera 1d8 Puntos de Golpe y cualquier criatura muerta viviente que empieza su turno en el área sufre 1d8 daño por vitalidad Potenciado (8.º) La curación y el daño se incrementan a 1d10.
Potenciado (9.º) La curación y el daño se incrementan a 1d12."
SONG OF STRENGTH;CANCIÓN DE FUERZA;one-action;TRUCO;1;POCO-COMÚN BARDO COMPOSICIÓN CONCENTRAR EMOCIÓN MENTAL TRUCO;;;combatiente;;;;emanación de 60 pies (18 m);;1 asalto;Refuerzas la potencia física de tus aliados mediante una abundante exhortación. Tus aliados y tú obtenéis un bonificador +1 por estatus a las pruebas de Atletismo y a vuestras CD contra las acciones de habilidad de Atletismo como por ejemplo Desarmar, Reposicionar, Empujar y Derribar.;
SONG OF MARCHING;CANCIÓN DE MARCHA;one-action;TRUCO;3;POCO-COMÚN BARDO COMPOSICIÓN CONCENTRAR MENTAL TRUCO;;;;;;;emanación de 60 pies (18 m);;mantenido hasta 1 hora;"Mantienes una briosa interpretación que hace que tus aliados se muevan. Tus aliados en el área y tú podéis Aligerar mientras dura el conjuro, además de vuestras otras actividades de exploración (tu actividad de exploración es lo que Mantiene el conjuro). Luego quedáis temporalmente inmunes durante 1 día.
Si entras en un encuentro mientras interpretas esta canción, puedes utilizar tu modificador por Interpretación a la tirada de iniciativa.
Tus aliados afectados y tú obtenéis también un bonificador +1 por estatus a dicha tirada de iniciativa.
COMPOSICIÓN";"Potenciado (6.º) Puedes Mantener el conjuro hasta 2 horas.
Potenciado (9.º) Puedes Mantener el conjuro hasta 4 horas."
UNFATHOMABLE SONG;CANCIÓN INSONDABLE;two-actions;CONJURO;9;AUDITIVO CONCENTRAR EMOCIÓN INCAPACITACIÓN MANIPULAR MENTAL;ocultista;;;;120 pies (36 m); hasta 5 criaturas;;Voluntad; mantenido hasta 1 minuto;"MIEDO
Notas fugaces de una canción extraña y antinatural llenan el aire, abrumando la mente. Cada objetivo tiene que hacer una salvación de Voluntad cuando lanzas el conjuro y de nuevo la primera vez que lo Mantienes cada asalto. Una criatura sólo tiene que hacer una salvación contra la canción cada asalto, y tienes que conservar los mismos objetivos cuando Mantienes el conjuro.
Éxito crítico El objetivo no resulta afectado, no puede resultar afectado en asaltos subsiguientes y queda temporalmente inmune durante 1 minuto.
Éxito El objetivo no resulta afectado este asalto, pero puede serlo en asaltos subsiguientes.
Fallo Tira 1d4 en la siguiente tabla.
Fallo crítico Tira 1d4+1 en la siguiente tabla.
Resultado Efecto 1 El objetivo queda asustado 2.
2 El objetivo queda confundido durante 1 asalto.
3 El objetivo queda anonadado 4 durante 1 asalto.
4 El objetivo queda cegado durante 1 asalto.
5 El objetivo queda aturdido durante 1 asalto y anonadado 1 durante un tiempo ilimitado.";
CANTICLE OF EVERLASTING GRIEFG;CÁNTICO DEL DOLOR ETERNO;two-actions;CONJURO;8;AUDITIVO CONCENTRAR EMOCIÓN MALDICIÓN MANIPULAR MENTAL MIEDO;divina, ocultista;;;;120 pies (36 m); 1 criatura;;Voluntad; variable;"Creas una melodía destilada a partir del más puro dolor, transmitiendo la pérdida inevitable de todo aquello que tu objetivo aprecia, y que solo es audible para él. El objetivo sufre 10d6 daño mental dependiendo de su salvación de Voluntad. Una criatura maldita por este conjuro no se puede beneficiar de bonificadores por circunstancia o por estatus, por la duración indicada en el grado de éxito.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo sufre mitad de daño, queda asustado 1 y maldito durante 1 asalto.
Fallo El objetivo sufre daño completo, queda asustado 3 y maldito durante 1 semana.
Fallo crítico El objetivo sufre doble daño, queda asustado 4 y maldito por tiempo ilimitado. Mientras la maldición permanece, los aliados del objetivo también se ven afectados por la maldición mientras están a 15 pies (4,5 m) o menos de la criatura.";
INIVISIBILITY CLOAK;CAPA DE INVISIBILIDAD;two-actions;FOCO;4;POCO-COMÚN FOCO ILUSIÓN MAGO MANIPULAR;;;;;;;;;1 minuto;Te vuelves invisible, con las mismas restricciones del conjuro invisibilidad de 2.º rango.;"Potenciado (6.º) La duración se incrementa a 10 minutos.
Potenciado (8.º) La duración se incrementa a 1 hora."
CLOAK OF SHADOW;CAPA DE SOMBRA;one-action;FOCO;1;POCO-COMÚN AURA CLÉRIGO FOCO MANIPULAR OSCURIDAD SOMBRA;;;;;toque; 1 criatura voluntaria.;;;1 minuto;"Envuelves el objetivo en una capa de sombras giratorias, que hace más difícil verle. La capa reduce la luz brillante en un emanación de 20 pies (6 m) a luz tenue. Ésta es una forma de oscuridad mágica y por lo tanto puede superar a la luz no mágica o contrarrestar a la luz mágica tal y como se describe en la pág. 431.
El objetivo puede utilizar su estado oculto debido a las sombras para Esconderse, aunque las criaturas observadoras pueden seguir siguiendo su aura de sombra que se mueve, haciendo difícil para el objetivo permanecer completamente indetectado. El objetivo puede utilizar una acción de Interactuar para quitarse la capa y dejarla tras de sí como un señuelo, puesto que permanece en su lugar, reduciendo la luz durante el resto de la duración del conjuro. Si alguien recoge la capa una vez se la ha quitado el objetivo original, ésta se evapora y el conjuro se acaba.";
DECEIVER'S CLOAK;CAPA DEL EMBAUCADOR;two-actions;FOCO;3;POCO-COMÚN BRUJO CONCENTRAR FOCO ILUSIÓN MALEFICIO MANIPULAR;;;;;;;;;Lección travesura mantenido hasta 1 hora;Tu patrón envuelve a tu alrededor una capa de ilusión, haciendo que parezcas otra criatura de la misma forma corporal y de aproximadamente altura y peso similares a ti mismo. Esto tiene los efectos de un disfraz ilusorio de 3.er rango.;Potenciado (6.º) Puedes parecer cualquier criatura del mismo tamaño, incluso con una forma corporal completamente diferente.
ANT HAUL;CARGA DE LA HORMIGA;two-actions;CONJURO;1;CONCENTRAR MANIPULAR;arcana, primigenia;;;;toque; 1 criatura;;;8 horas;Refuerzas el sistema musculoesquelético del objetivo para que sea capaz de soportar más peso. El objetivo puede llevar 3 más de Impedimenta de lo normal antes de quedar impedido y hasta un máximo de 6 más de Impedimenta.;
TELEKINETIC HAUL;CARGA TELECINÉTICA;two-actions;CONJURO;5;CONCENTRAR MANIPULAR;arcana, ocultista;;;;120 pies (36 m); 1 objeto desatendido de;;;mantenido hasta 1 minuto;"hasta Impedimenta 80 sin ninguna dimensión superior a 20 pies (6 m).
Mueves el objetivo hasta 20 pies (6 m), haciendo potencialmente que flote en el aire. Cuando Mantienes el conjuro, puedes hacerlo de nuevo o puedes cambiar tu foco telecinético a un objetivo elegible diferente dentro del alcance, moviéndolo en su lugar.";
ATHLETIC RUSH;CARRERA ATLÉTICA;one-action;FOCO;1;POCO-COMÚN CLÉRIGO FOCO MANIPULAR;;;;;;;;;1 asalto;"Tu cuerpo se llena de potencia física y de habilidad. Obtienes un bonificador +10 pies (3 m) por estatus a tu Velocidad y un bonificador +2 por estatus a las pruebas de Atletismo. Como parte de Lanzar este conjuro, puedes utilizar una acción de Zancada, Salto, Trepar o Nadar.
Los bonificadores del conjuro se aplican durante dicha acción.";
CATACLYSM;CATACLISMO;two-actions;CONJURO;10;ÁCIDO AGUA AIRE CONCENTRAR ELECTRICIDAD FRÍO FUEGO;arcana, primigenia;;;;1000 pies (300 m);; explosión de 60 pies (18 m);Reflejos básica;;"MANIPULAR TIERRA
Llamas al inimaginable poder de los cataclismos del fin del mundo, arrancando un trocito de cada uno y combinándolos en un ataque horriblemente poderoso. Los siguientes efectos les sobrevienen a todas las criaturas del área. Trata las resistencias de las criaturas del área como si fueran 10 menores a efectos de determinar el daño del cataclismo. Cada criatura hace una salvación básica de Reflejos que se aplica a todos y cada uno de los cinco tipos de daño.
• Una lluvia ácida que disuelve la carne inflige 3d10 daño por ácido • Un rugiente terremoto azota y golpea a las criaturas a ras de suelo, infligiendo 3d10 daño contundente.
• Una explosión de viento congelante inflige 3d10 daño por frío.
• Una cantidad increíble de rayos azota el área, infligiendo 3d10 daño por electricidad.
• Vientos huracanados recorren el cielo, infligiendo 3d10 daño contundente a las criaturas que vuelan por el área.
• Un tsunami instantáneo barre a las criaturas en el área, infligiendo 3d10 daño contundente (que se dobla para las criaturas que nadan por el área).
• Un enorme incendio forestal desencadena un infierno repentino, infligiendo 3d10 daño por fuego.";
ENTHRALL;CAUTIVAR;two-actions;CONJURO;3;AUDITIVO CONCENTRAR EMOCIÓN MANIPULAR;arcana, ocultista;;;;120 pies (36 m); todas las criaturas den-;;tro del alcance Voluntad; mantenido;"Tus palabras fascinan a tus objetivos. Hablas o cantas sin interrupción tanto en el lanzamiento como en la duración. Los objetivos que son conscientes de tu discurso o de tu canción podrían concederte su atención unívoca; cada objetivo tiene que hacer una salvación de Voluntad. El DJ podría conceder un bonificador por circunstancia (con un máximo de +4) si el objetivo es de una religión, ascendencia o tendencia política opuesta, o por lo demás es poco probable que esté de acuerdo con lo que dices.
Cada criatura que llega al alcance tiene que hacer una salvación cuando Mantienes el conjuro. Si estás hablando, cautivar obtiene el rasgo lingüístico.
Éxito crítico El objetivo no resulta afectado y se da cuenta de que has intentado utilizar la magia.
Éxito El objetivo no tiene por qué prestar atención pero no se da cuenta de que has intentado utilizar la magia (podría darse cuenta de que otros están cautivados).
Fallo El objetivo está fascinado por ti. Puede hacer otra salvación de Voluntad si es testigo de acciones o de palabras con las que está en desacuerdo. Si tiene éxito, ya no está fascinado y queda temporalmente inmune durante 1 hora. Si el objetivo es víctima de una acción hostil o si otra criatura tiene éxito en una prueba de Diplomacia o de Intimidación contra ella, la fascinación se acaba de inmediato.
Fallo crítico Igual que en fallo, pero el objetivo no puede hacer una salvación para acabar con la fascinación si está en desacuerdo contigo.";
BLINDNESS;CEGUERA;two-actions;CONJURO;3;CONCENTRAR INCAPACITACIÓN MANIPULAR;arcana, divina, ocultista, primigenia;;;;30 pies (9 m); 1 criatura;;Fortaleza;;"Dejas ciego al objetivo. Los efectos vienen determinados por una salvación de Reflejos del mismo. A continuación, queda temporalmente inmune durante 1 minuto.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo queda cegado hasta que empieza su siguiente turno.
Fallo El objetivo queda cegado durante 1 minuto.
Fallo crítico El objetivo queda cegado permanentemente.";
ZEAL FOR BATTLE;CELO DE BATALLA;reaction;FOCO;4;POCO-COMÚN CLÉRIGO CONCENTRAR EMOCIÓN FOCO FORTUNA MENTAL;;;;Tú y por lo menos 1 aliado estáis a punto de tirar iniciativa.;10 pies (3 m); Tú y el aliado desencadenante;;;;Avivas una ira justa en ti y en un aliado. El objetivo y tú tiráis cada uno 1d20 y utilizáis el mayor de los resultados para ambas tiradas de iniciativa. Cada uno de vosotros utiliza su propio modificador a la percepción u otra estadística para determinar su resultado.;
LOCK;CERRAR;two-actions;CONJURO;1;CONCENTRAR MANIPULAR;arcana, divina, ocultista;;;;toque; 1 cerradura, o una puerta o reci-;;;piente con un cierre hasta tus siguientes preparativos diarios;"El mecanismo del objetivo se cierra con un chasquido, sujeto por custodias mágicas invisibles. Cuando cierras mágicamente un objetivo, fijas una CD de Atletismo y de Latrocinio para abrirlo igual a tu CD de conjuros o a la CD básica de la cerradura con un bonificador +4 por estatus, el más alto de los dos valores. Cualquier llave o combinación que antes abriera una cerradura afectada por este conjuro ya no lo hará mientras dure éste, aunque disponer de la llave o de la combinación conceden un bonificador +4 por circunstancia a las pruebas para abrir.
Si el objetivo se abre, el conjuro se acaba. Suponiendo que no esté atrancado o cerrado de alguna forma adicional, puedes desbloquearlo y abrirlo con una acción de Interactuar durante la cual lo tocas. Esto no acaba el conjuro. Puedes Disipar este conjuro en cualquier momento y desde cualquier distancia.
de metales preciosos como coste adicional.";Potenciado (2.º) La Duración es ilimitada, pero tienes que gastar 6 po
CLAIRAUDIENCE;CLARIAUDIENCIA;;CONJURO;3;CONCENTRAR MANIPULAR ESCUDRIÑAMIENTO;arcana, ocultista;1 minuto;;;500 pies (150 m);;;;10 minutos;Creas una oreja flotante invisible en un lugar dentro del alcance (incluso si está fuera de tu línea visual o de efecto). No se puede mover, pero puedes oír a través de la misma como si utilizaras tus sentidos auditivos normales.;
CLAIRVOYANCE;CLARIVIDENCIA;;CONJURO;4;CONCENTRAR MANIPULAR ESCUDRIÑAMIENTO;arcana, ocultista;1 minuto;;;500 pies (150 m);;;;10 minutos;Creas un ojo flotante invisible en un lugar dentro del alcance (incluso si está fuera de tu línea visual o de efecto). No se puede mover, pero tú puedes ver en todas direcciones desde dicho punto como si utilizaras tus sentidos visuales normales.;
DIZZYING COLORS;COLORES MAREANTES;two-actions;CONJURO;1;CONCENTRAR ILUSIÓN INCAPACITACIÓN MANIPULAR VISUAL;arcana, ocultista;;;;;;cono de 15 pies (4,5 m);Voluntad; 1 o más asaltos (ver a continuación);"Desatas una multitud giratoria de colores que abruma a las criaturas, según sus salvaciones de Voluntad..
Éxito crítico La criatura no resulta afectada.
Éxito La criatura queda deslumbrada durante 1 asalto.
Fallo La criatura queda aturdida 1, cegada durante 1 asalto y deslumbrada durante 1 minuto.
Fallo crítico La criatura queda aturdida durante 1 asalto y cegada durante 1 minuto..";
SHARE LIFE;COMPARTIR VIDA;two-actions;CONJURO;2;CONCENTRAR MANIPULAR;divina;;;;30 pies (9 m); 1 criatura;;;10 minutos;"Forjas un vínculo temporal entre la esencia vital del objetivo y la tuya.
El objetivo sufre mitad de daño de todos los efectos que infligen daño en Puntos de Golpe y tú te llevas la otra mitad. Cuando sufras daño a través de este vínculo, no aplicarás al mismo ninguna resistencia, debilidad u otra aptitud que tengas; simplemente sufrirás dicha cantidad de daño. El conjuro se acaba si el objetivo llega a estar más de 30 pies (9 m) separado de ti. Si el objetivo o tú quedáis reducidos a 0 Puntos de Golpe, cualquier daño debido a este conjuro se resuelve y a continuación el conjuro se acaba.";
LINGERING COMPOSITION;COMPOSICIÓN PERSISTENTE;free-action;FOCO;1;POCO-COMÚN BARDO CONCENTRAR FOCO MOLDEO-DE-CONJUROS;;;maestro;;;;;;;"Añades una floritura a tu composición para prolongar sus beneficios.
Si tu siguiente acción es lanzar una composición de truco con una duración de 1 asalto, haz una prueba de Interpretación. La CD suele ser de dificultad normal y de un nivel igual al objetivo de mayor nivel de tu composición, pero el DJ puede asignar una diferente basada en las circunstancias. El efecto depende del resultado de la prueba.
Éxito crítico La composición dura 4 asaltos.
Éxito La composición dura 3 asaltos.
Fallo La composición dura 1 asalto, pero no gastas el Punto de Foco al lanzar este conjuro.";
CONFUSION;CONFUSIÓN;two-actions;CONJURO;4;CONCENTRAR EMOCIÓN MANIPULAR MENTAL;arcana, ocultista;;;;30 pies (9 m); 1 criatura;;Voluntad; 1 minuto;"Ofuscas a tu objetivo con extraños impulsos, haciendo que actúe de forma aleatoria. Los efectos dependen de la salvación de Voluntad del objetivo. Puedes Disipar el conjuro.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo balbucea incoherentemente y queda aturdido 1.
Fallo El objetivo queda confundido durante 1 minuto. Puede intentar una nueva salvación al final de cada uno de sus turnos para acabar con la confusión.
Fallo crítico El objetivo queda confundido durante 1 minuto, sin derecho a salvación para acabar antes.";Potenciado (8.º) Puedes designar como objetivo hasta 10 criaturas.
FROSTBITE;CONGELACIÓN;two-actions;TRUCO;1;CONCENTRAR FRÍO MANIPULAR TRUCO;arcana, primigenia;;;;60 pies (18 m); 1 criatura;;;hasta tus siguientes preparativos diarios;Un orbe de frío polar se forma alrededor de tu objetivo, congelando su cuerpo. El objetivo sufre 2d4 daño por frío con una salvación básica de Fortaleza. Con un fallo crítico, el objetivo además sufre debilidad 1 a contundente hasta el inicio de tu siguiente turno.;Potenciado (+1) El daño se incrementa en 1d4 y la debilidad con un fallo crítico se incrementa en 1.
FREEZE TIME;CONGELAR EL TIEMPO;three-actions;CONJURO;10;CONCENTRAR MANIPULAR;arcana, ocultista;;;;;;;;;"Detienes temporalmente el tiempo para todos excepto para ti, lo que te permite utilizar varias acciones en lo que a los demás les parece que no consume tiempo alguno. Inmediatamente después de lanzar congelar el tiempo, puedes utilizar hasta 9 acciones en 3 conjuntos de hasta 3 acciones cada uno. Después de cada conjunto de acciones, pasa 1 asalto, pero sólo para ti, los efectos que te designan específicamente como objetivo o que te afectan y los efectos creados por ti durante la parada. Todas las demás criaturas y objetos son invulnerables a tus ataques, y no puedes designarlos como objetivo o afectarlos con nada.
Una vez has acabado tus acciones, el tiempo vuelve a fluir de nuevo para el resto del mundo. Si has creado un efecto una duración que se extiende más allá de la de congelar el tiempo, como por ejemplo muro de fuego, afecta de nuevo y de inmediato a los demás, pero no tiene ninguno de los efectos que sólo tienen lugar cuando Lanzas el conjuro por primera vez.";
KNOW THE ENEMY;CONOCER AL ENEMIGO;reaction;FOCO;4;POCO-COMÚN CLÉRIGO FOCO FORTUNA MANIPULAR;;;;Tiras iniciativa y puedes ver a una criatura, tienes éxito en una tirada de ataque contra una criatura o una criatura falla una tirada de salvación contra uno de tus conjuros.;;;;;;Te acuerdas rápidamente de una información útil. Utiliza una acción de Recordar conocimiento, haciendo la prueba de habilidad apropiada para identificar las aptitudes de la criatura desencadenante. Puedes hacer dos veces la prueba y utilizar el mejor de los resultados.;
KNOW THE WAY;CONOCER EL CAMINO;two-actions;TRUCO;1;CONCENTRAR DETECCIÓN MANIPULAR TRUCO;divina, ocultista, primigenia;;;;;;;;;En el ojo de tu mente, te reorientas mágicamente. Sabes inmediatamente en qué dirección está el norte (si existe en tu ubicación actual), y puedes elegir una ubicación en la que estuviste en las últimas 24 horas, averiguando en qué dirección se encuentra.;"Potenciado (3.º) Puedes elegir una ubicación en la que estuviste como máximo la semana pasada.
Potenciado (7.º) Puedes elegir una ubicación en la que has estado, sin importar el tiempo transcurrido."
CONTINGENCY;CONTINGENCIA;;CONJURO;7;CONCENTRAR MANIPULAR;arcana;10 minutos;;;;;;;hasta tus siguientes preparativos diarios;Preparas un conjuro que se desencadenará más adelante. A la vez que lanzas contingencia, lanzas también otro conjuro de 4.º rango o inferior con un tiempo de lanzamiento no superior a 3 acciones. Este conjuro de acompañamiento tiene que ser uno que pueda afectarte a ti. Tienes que tomar cualquier decisión para el conjuro al lanzar contingencia, como por ejemplo elegir un tipo de daño para resistir energía. Durante el lanzamiento, elige un desencadenante tras el cual se lanzará el conjuro, utilizando las mismas restricciones que para el desencadenante de una acción de Preparar. Una vez has lanzado contingencia, puedes hacer que el conjuro de acompañamiento surta efecto como reacción con dicho desencadenante. Sólo te afecta a ti, incluso si puede afectar a más criaturas. Si defines unas condiciones muy complicadas, a juicio del DJ, el desencadenante puede fallar. Si lanzas contingencia de nuevo, el nuevo lanzamiento sustituye al anterior.;"Potenciado (8.º) Puedes elegir un conjuro de 5.º rango o inferior.
Potenciado (9.º) Puedes elegir un conjuro de 6.º rango o inferior.
Potenciado (10.º) Puedes elegir un conjuro de 7.º rango o inferior."
BLUR;CONTORNO BORROSO;two-actions;CONJURO;2;CONCENTRAR ILUSIÓN MANIPULAR VISUAL;arcana, ocultista;;;;toque; 1 criatura;;;1 minuto;La forma del objetivo parece borrosa. Éste obtiene ocultamiento. Como quiera que la naturaleza de este efecto sigue haciendo que la ubicación del objetivo sea obvia, no puede utilizar este ocultamiento para Esconderse o Moverse furtivamente.;
COUNTER PERFORMANCE;CONTRARRESTAR INTERPRETACIÓN;reaction;FOCO;1;POCO-COMÚN BARDO COMPOSICIÓN CONCENTRAR FOCO FORTUNA MENTAL;;;;Tú o un aliado tuyo a 60 pies (18 m) o menos hacéis una tirada de salvación contra un efecto auditivo o visual.;;;emanación de 60 pies (18 m);;;"Tu interpretación te protege a ti y a tus aliados. Haz una prueba de Interpretar de un tipo que conoces; tiene que ser una interpretación auditiva si el desencadenante es auditivo o visual para un desencadenante visual y dicha acción obtiene los rasgos correspondientes al tipo de Interpretación (pág. 239). Tus aliados en el área y tú podéis utilizar el mejor resultado de entre tu prueba de Interpretación y la tirada de salvación.";
CONTROL WATER;CONTROLAR LAS AGUAS;two-actions;CONJURO;5;AGUA CONCENTRAR MANIPULAR;arcana, primigenia;;;;500 pies (150 m);; 50 pies (15 m) de largo por;50 pies (15 m) de ancho Fortaleza (ver texto);1 hora;Imponiendo tu voluntad sobre las aguas, puedes elevar o rebajar en 10 pies (3 m) el nivel del agua en el área elegida. Las criaturas que tienen el rasgo agua y que están en el área cuando Lanzas el conjuro tienen que hacer una salvación de Fortaleza, con los efectos del conjuro lentificar.;
ZEALOUS CONVICTION;CONVICCIÓN CELOSA;two-actions;CONJURO;6;CONCENTRAR EMOCIÓN MANIPULAR MENTAL;divina, ocultista;;;;30 pies (9 m); hasta 10 criaturas voluntarias;;;10 minutos;"Sobrepasas la mente racional de tus objetivos, inspirándoles una convicción y un celo inquebrantables. Todos los objetivos obtienen 12 Puntos de Golpe temporales y un bonificador +2 por estatus a las salvaciones de Voluntad contra los efectos mentales, conforme su fe se impone a las señales que sus cuerpos y sus mentes les envían. Si ordenas a un objetivo que haga algo, tiene que cumplir tu petición, aunque normalmente encontraría la tarea repugnante; cada asalto, puede hacer una salvación de Voluntad al final de su turno debido a la disonancia cognitiva. Con un éxito, hace acabar por completo los efectos del conjuro sobre sí.";Potenciado (9.º) Los puntos de golpe temporales se incrementan a 18 y el bonificador por estatus a las salvaciones de Voluntad se incrementa a +3.
SUMMON ANIMAL;CONVOCAR ANIMAL;three-actions;CONJURO;1;CONCENTRAR CONVOCAR MANIPULAR;arcana, primigenia;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo animal y cuyo nivel es -1 para que luche por ti.;Potenciado Como se indica en el rasgo convocar (pág. 325).
SUMMON CELESTIAL;CONVOCAR CELESTIAL;three-actions;CONJURO;5;CONCENTRAR CONVOCAR MANIPULAR SAGRADO;divina;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo celestial y cuyo nivel es 5 o menor para que luche por ti. El DJ podría determinar que tu dios restringe los tipos específicos de celestiales a los que puedes convocar en determinados casos. Por ejemplo, Calistria no suele permitir que sus seguidores convoquen eones.;Potenciado Como se indica en el rasgo convocar (pág. 325).
SUMMON CONSTRUCT;CONVOCAR CONSTRUCTO;three-actions;CONJURO;1;CONCENTRAR CONVOCAR MANIPULAR;arcana;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo constructo y cuyo nivel es -1 para que luche por ti.;Potenciado Como se indica en el rasgo convocar (pág. 325).
SUMMON DRAGON;CONVOCAR DRAGÓN;three-actions;CONJURO;5;CONCENTRAR CONVOCAR MANIPULAR;arcana, divina, ocultista, primigenia;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo dragón y cuyo nivel es 5 o menor para que luche por ti. Si el dragón tiene un rasgo de tradición mágica (arcano, divino, ocultista o primigenio), sólo puedes convocarlo si estás utilizando dicha tradición para lanzar convocar dragón.;Potenciado Como se indica en el rasgo convocar (pág. 325).
SUMMON ELEMENTAL;CONVOCAR ELEMENTAL;three-actions;CONJURO;2;CONCENTRAR CONVOCAR MANIPULAR;arcana, primigenia;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo elemental y cuyo nivel es 1 o menor para que luche por ti.;Potenciado Como se indica en el rasgo convocar (pág. 325).
SUMMON GIANT;CONVOCAR GIGANTE;three-actions;CONJURO;5;CONCENTRAR CONVOCAR MANIPULAR;primigenia;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo gigante y cuyo nivel es 5 o menor para que luche por ti.;Potenciado Como se indica en el rasgo convocar (pág. 325).
SUMMON FEY;CONVOCAR HADA;three-actions;CONJURO;1;CONCENTRAR CONVOCAR MANIPULAR;ocultista, primigenia;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo hada y cuyo nivel es -1 para que luche por ti.;Potenciado Como se indica en el rasgo convocar (pág. 325).
SUMMON FIEND;CONVOCAR INFERNAL;three-actions;CONJURO;5;CONCENTRAR CONVOCAR MANIPULAR SACRÍLEGO;divina;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo infernal y cuyo nivel es 5 o menor para que luche por ti. El DJ podría determinar que tu dios restringe los tipos específicos de infernales a los que puedes convocar en determinados casos. Por ejemplo, los archidiablos permiten típicamente a sus seguidores que convoquen diablos, pero no otros infernales.;Potenciado Como se indica en el rasgo convocar (pág. 325).
